Frame 898 | Time 35.88s | Emotion: neutral
Frame 900 | Time 35.96s | Emotion: neutral
Frame 902 | Time 36.04s | Emotion: neutral
Frame 904 | Time 36.12s | Emotion: neutral
Frame 906 | Time 36.20s | Emotion: neutral
Frame 908 | Time 36.28s | Emotion: neutral
Frame 910 | Time 36.36s | Emotion: neutral
Frame 912 | Time 36.44s | Emotion: neutral
Frame 914 | Time 36.52s | Emotion: neutral
Frame 916 | Time 36.60s | Emotion: neutral
Frame 918 | Time 36.68s | Emotion: neutral
Frame 920 | Time 36.76s | Emotion: neutral
Frame 922 | Time 36.84s | Emotion: neutral
Frame 1186 | Time 47.40s | Emotion: angry
Frame 1188 | Time 47.48s | Emotion: neutral
Frame 1190 | Time 47.56s | Emotion: neutral
Frame 1192 | Time 47.64s | Emotion: angry
Frame 1194 | Time 47.72s | Emotion: angry
Frame 1196 | Time 47.80s | Emotion: neutral
Frame 1198 | Time 47.88s | Emotion: neutral
Frame 1200 | Time 47.96s | Emotion: neutral
Frame 1202 | Time 48.04s | Emotion: neutral
Frame 1204 | Time 48.12s | Emotion: neutral
Frame 1206 | Time 48.20s | Emotion: neutral
Frame 1208 | Time 48.28s | Emotion: neutral
Frame 1210 | Time 48.36s | Emotion: neutral
Frame 1212 | Time 48.44s | Emotion: neutral
Frame 1214 | Time 48.52s | Emotion: neutral
Frame 1216 | Time 48.60s | Emotion: neutral
Frame 1218 | Time 48.68s | Emotion: neutral
Frame 1220 | Time 48.76s | Emotion: neutral
Frame 1222 | Time 48.84s | Emotion: neutral
Frame 1224 | Time 48.92s | Emotion: neutral
Frame 1226 | Time 49.00s | Emotion: neutral
Frame 1228 | Time 49.08s | Emotion: neutral
Frame 1230 | Time 49.16s | Emotion: neutral
Frame 1232 | Time 49.24s | Emotion: happy
Frame 1234 | Time 49.32s | Emotion: happy
Frame 1236 | Time 49.40s | Emotion: happy
Frame 1238 | Time 49.48s | Emotion: happy
Frame 1240 | Time 49.56s | Emotion: happy
Frame 1242 | Time 49.64s | Emotion: neutral
Frame 1244 | Time 49.72s | Emotion: neutral
Frame 1246 | Time 49.80s | Emotion: neutral
Frame 1248 | Time 49.88s | Emotion: neutral
Frame 1250 | Time 49.96s | Emotion: neutral
Frame 1252 | Time 50.04s | Emotion: neutral
Frame 1254 | Time 50.12s | Emotion: neutral
Frame 1256 | Time 50.20s | Emotion: neutral
Frame 1258 | Time 50.28s | Emotion: neutral
Frame 1260 | Time 50.36s | Emotion: neutral
Frame 1262 | Time 50.44s | Emotion: neutral
Frame 1264 | Time 50.52s | Emotion: neutral
Frame 1526 | Time 61.00s | Emotion: sad
Frame 1528 | Time 61.08s | Emotion: happy
Frame 1530 | Time 61.16s | Emotion: neutral
Frame 1532 | Time 61.24s | Emotion: neutral
Frame 1534 | Time 61.32s | Emotion: neutral
Frame 1536 | Time 61.40s | Emotion: neutral
Frame 1538 | Time 61.48s | Emotion: neutral
Frame 1540 | Time 61.56s | Emotion: neutral
Frame 1542 | Time 61.64s | Emotion: neutral
Frame 1544 | Time 61.72s | Emotion: neutral
Frame 1546 | Time 61.80s | Emotion: neutral
Frame 1548 | Time 61.88s | Emotion: neutral
Frame 1550 | Time 61.96s | Emotion: neutral
Frame 1552 | Time 62.04s | Emotion: neutral
Frame 1554 | Time 62.12s | Emotion: neutral
Frame 1556 | Time 62.20s | Emotion: neutral
Frame 1558 | Time 62.28s | Emotion: neutral
Frame 1560 | Time 62.36s | Emotion: neutral
Frame 1562 | Time 62.44s | Emotion: neutral
Frame 1564 | Time 62.52s | Emotion: neutral
Frame 1566 | Time 62.60s | Emotion: neutral
Frame 1568 | Time 62.68s | Emotion: sad
